ID,Bay,Indiv,Farm,Distance,Lat,Lng,Date,State,Ploidy,Culture,Valve,Shell_g,Tissue_g,x,y,z,Thick,Infested
2020 Winter Hoodsport,Hood Canal,35,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,28.9,20.73,47.9,87.8,7.2,NA,0
2020 Winter Hoodsport,Hood Canal,35,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,52.7,NA,48.1,93.9,26.3,NA,NA
2020 Winter Hoodsport,Hood Canal,36,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,17.07,11.62,43.7,78.5,8.6,NA,0
2020 Winter Hoodsport,Hood Canal,36,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,31.71,NA,51.3,88.2,21.1,NA,NA
2020 Winter Hoodsport,Hood Canal,37,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,18.38,13.11,51.4,74.3,13.6,NA,0
2020 Winter Hoodsport,Hood Canal,37,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,31.94,NA,56.4,83.3,27.3,NA,NA
2020 Winter Hoodsport,Hood Canal,38,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,17.6,11.42,37.3,71.9,5.2,NA,0
2020 Winter Hoodsport,Hood Canal,38,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,26.43,NA,48.9,88.9,28.2,NA,NA
2020 Winter Hoodsport,Hood Canal,39,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,15.98,8.03,47.2,70.8,8.9,NA,0
2020 Winter Hoodsport,Hood Canal,39,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,21.75,NA,54.8,79.2,14.4,NA,NA
2020 Winter Hoodsport,Hood Canal,40,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,34.7,11.57,42.1,91.1,12,NA,0
2020 Winter Hoodsport,Hood Canal,40,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,48.5,NA,48.5,100.3,22.8,NA,NA
2020 Winter Hoodsport,Hood Canal,41,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,17.2,10.13,47.1,65.7,11.9,NA,0
2020 Winter Hoodsport,Hood Canal,41,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,24.91,NA,49.2,76.8,22.8,NA,NA
2020 Winter Hoodsport,Hood Canal,42,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,14.5,10.65,97.2,65,8.1,NA,0
2020 Winter Hoodsport,Hood Canal,42,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,27.8,NA,66.5,81.5,18.4,NA,NA
